humidity,temperature,distance,sound_pressure_level
71,0,1500,70.197
71,0,2000,66.761
71,0,2500,64.001
72,0,500,82.572
72,0,1000,74.881
72,0,1500,70.223
72,0,2000,66.789
72,0,2500,64.031
73,0,500,82.585
73,0,1000,74.903
73,0,1500,70.248
73,0,2000,66.817
73,0,2500,64.060
74,0,500,82.598
74,0,1000,74.924
74,0,1500,70.273
74,0,2000,66.844
74,0,2500,64.088
75,0,500,82.610
75,0,1000,74.944
75,0,1500,70.297
75,0,2000,66.870
75,0,2500,64.115
76,0,500,82.622
76,0,1000,74.964
76,0,1500,70.320
76,0,2000,66.895
76,0,2500,64.142
77,0,500,82.633
77,0,1000,74.983
77,0,1500,70.342
77,0,2000,66.920
77,0,2500,64.168
78,0,500,82.644
78,0,1000,75.002
78,0,1500,70.364
78,0,2000,66.943
78,0,2500,64.192
79,0,500,82.655
79,0,1000,75.020
79,0,1500,70.385
79,0,2000,66.966
79,0,2500,64.217
80,0,500,82.666
80,0,1000,75.038
80,0,1500,70.406
80,0,2000,66.989
80,0,2500,64.240
81,0,500,82.676
81,0,1000,75.055
81,0,1500,70.426
81,0,2000,67.010
81,0,2500,64.263
82,0,500,82.687
82,0,1000,75.072
82,0,1500,70.445
82,0,2000,67.031
82,0,2500,64.285
83,0,500,82.697
83,0,1000,75.089
83,0,1500,70.464
83,0,2000,67.052
83,0,2500,64.306
84,0,500,82.706
84,0,1000,75.105
84,0,1500,70.482
84,0,2000,67.072
84,0,2500,64.327
85,0,500,82.716
85,0,1000,75.121
85,0,1500,70.500
85,0,2000,67.091
85,0,2500,64.347
86,0,500,82.725
86,0,1000,75.136
86,0,1500,70.518
86,0,2000,67.110
86,0,2500,64.367
87,0,500,82.734
87,0,1000,75.151
87,0,1500,70.535
87,0,2000,67.128
87,0,2500,64.386
88,0,500,82.743
88,0,1000,75.165
88,0,1500,70.551
88,0,2000,67.146
88,0,2500,64.404
89,0,500,82.752
89,0,1000,75.180
89,0,1500,70.567
89,0,2000,67.163
89,0,2500,64.422
20,1,500,81.085
20,1,1000,71.726
20,1,1500,66.305
20,1,2000,62.387
20,1,2500,59.298
21,1,500,81.127
21,1,1000,71.885
21,1,1500,66.516
21,1,2000,62.630
21,1,2500,59.559
22,1,500,81.172
22,1,1000,72.035
22,1,1500,66.715
22,1,2000,62.859
22,1,2500,59.804
23,1,500,81.219
23,1,1000,72.179
23,1,1500,66.902
23,1,2000,63.074
23,1,2500,60.036
24,1,500,81.269
24,1,1000,72.316
24,1,1500,67.079
